timestamp_ns,timestamp_iso,valor
1787011200093750000,2026-08-17T19:00:00.093750,9.052451
1787011200125000000,2026-08-17T19:00:00.125000,8.544498
1787011200156250000,2026-08-17T19:00:00.156250,8.272380
1787011200187500000,2026-08-17T19:00:00.187500,8.036545
1787011200218750000,2026-08-17T19:00:00.218750,7.564874
1787011200250000000,2026-08-17T19:00:00.250000,6.948073
1787011200281250000,2026-08-17T19:00:00.281250,6.403838
1787011200312500000,2026-08-17T19:00:00.312500,5.823320
1787011200343750000,2026-08-17T19:00:00.343750,5.478638
1787011200375000000,2026-08-17T19:00:00.375000,5.133955
1787011200406250000,2026-08-17T19:00:00.406250,4.644143
1787011200437500000,2026-08-17T19:00:00.437500,4.045484
1787011200468750000,2026-08-17T19:00:00.468750,3.483107
1787011200500000000,2026-08-17T19:00:00.500000,3.084001
1787011200531250000,2026-08-17T19:00:00.531250,2.340213
1787011200562500000,2026-08-17T19:00:00.562500,1.850401
1787011200593750000,2026-08-17T19:00:00.593750,1.052189
1787011200625000000,2026-08-17T19:00:00.625000,0.290259
1787011200656250000,2026-08-17T19:00:00.656250,-0.961483
1787011200687500000,2026-08-17T19:00:00.687500,-1.433154
1787011200718750000,2026-08-17T19:00:00.718750,-1.741554
1787011200750000000,2026-08-17T19:00:00.750000,-2.176942
1787011200781250000,2026-08-17T19:00:00.781250,-2.594189
1787011200812500000,2026-08-17T19:00:00.812500,-2.902589
1787011200843750000,2026-08-17T19:00:00.843750,-3.555672
1787011200875000000,2026-08-17T19:00:00.875000,-4.517155
1787011200906250000,2026-08-17T19:00:00.906250,-5.260943
1787011200937500000,2026-08-17T19:00:00.937500,-5.768897
1787011200968750000,2026-08-17T19:00:00.968750,-6.476403
1787011201000000000,2026-08-17T19:00:01,-7.093203
1787011201031250000,2026-08-17T19:00:01.031250,-7.583015
1787011201062500000,2026-08-17T19:00:01.062500,-7.855133
1787011201093750000,2026-08-17T19:00:01.093750,-8.508215
1787011201125000000,2026-08-17T19:00:01.125000,-9.179439
1787011201156250000,2026-08-17T19:00:01.156250,-9.596686
1787011201187500000,2026-08-17T19:00:01.187500,-10.231628
1787011201218750000,2026-08-17T19:00:01.218750,-10.703299
1787011201250000000,2026-08-17T19:00:01.250000,-11.102405
1787011201281250000,2026-08-17T19:00:01.281250,-11.410805
1787011201312500000,2026-08-17T19:00:01.312500,-11.864334
1787011201343750000,2026-08-17T19:00:01.343750,-11.918758
1787011201375000000,2026-08-17T19:00:01.375000,-12.190876
1787011201406250000,2026-08-17T19:00:01.406250,-12.626264
1787011201437500000,2026-08-17T19:00:01.437500,-12.716970
1787011201468750000,2026-08-17T19:00:01.468750,-12.608123
1787011201500000000,2026-08-17T19:00:01.500000,-12.970947
1787011201531250000,2026-08-17T19:00:01.531250,-13.315629
1787011201562500000,2026-08-17T19:00:01.562500,-13.460759
1787011201593750000,2026-08-17T19:00:01.593750,-13.660312
1787011201625000000,2026-08-17T19:00:01.625000,-13.751017
1787011201656250000,2026-08-17T19:00:01.656250,-13.660312
1787011201687500000,2026-08-17T19:00:01.687500,-13.605888
1787011201718750000,2026-08-17T19:00:01.718750,-13.442617
1787011201750000000,2026-08-17T19:00:01.750000,-13.460759
1787011201781250000,2026-08-17T19:00:01.781250,-13.351911
1787011201812500000,2026-08-17T19:00:01.812500,-13.079794
1787011201843750000,2026-08-17T19:00:01.843750,-13.025370
1787011201875000000,2026-08-17T19:00:01.875000,-12.735111
1787011201906250000,2026-08-17T19:00:01.906250,-12.336005
1787011201937500000,2026-08-17T19:00:01.937500,-12.190876
1787011201968750000,2026-08-17T19:00:01.968750,-11.936899
1787011202000000000,2026-08-17T19:00:02,-11.537793
1787011202031250000,2026-08-17T19:00:02.031250,-11.229393
1787011202062500000,2026-08-17T19:00:02.062500,-10.920993
1787011202093750000,2026-08-17T19:00:02.093750,-10.521887
1787011202125000000,2026-08-17T19:00:02.125000,-10.394898
1787011202156250000,2026-08-17T19:00:02.156250,-9.814381
1787011202187500000,2026-08-17T19:00:02.187500,-9.487839
1787011202218750000,2026-08-17T19:00:02.218750,-8.961745
1787011202250000000,2026-08-17T19:00:02.250000,-8.490074
1787011202281250000,2026-08-17T19:00:02.281250,-7.728144
1787011202312500000,2026-08-17T19:00:02.312500,-7.056921
1787011202343750000,2026-08-17T19:00:02.343750,-6.113579
1787011202375000000,2026-08-17T19:00:02.375000,-5.787038
1787011202406250000,2026-08-17T19:00:02.406250,-5.152096
1787011202437500000,2026-08-17T19:00:02.437500,-4.426449
1787011202468750000,2026-08-17T19:00:02.468750,-4.154331
1787011202500000000,2026-08-17T19:00:02.500000,-4.136190
1787011202531250000,2026-08-17T19:00:02.531250,-3.392401
1787011202562500000,2026-08-17T19:00:02.562500,-3.029578
1787011202593750000,2026-08-17T19:00:02.593750,-2.612330
1787011202625000000,2026-08-17T19:00:02.625000,-1.832260
1787011202656250000,2026-08-17T19:00:02.656250,-1.360589
1787011202687500000,2026-08-17T19:00:02.687500,-0.653083
1787011202718750000,2026-08-17T19:00:02.718750,0.054424
1787011202750000000,2026-08-17T19:00:02.750000,0.634941
1787011202781250000,2026-08-17T19:00:02.781250,1.396871
1787011202812500000,2026-08-17T19:00:02.812500,2.430919
1787011202843750000,2026-08-17T19:00:02.843750,3.120284
1787011202875000000,2026-08-17T19:00:02.875000,4.009202
1787011202906250000,2026-08-17T19:00:02.906250,4.789273
1787011202937500000,2026-08-17T19:00:02.937500,5.079532
1787011202968750000,2026-08-17T19:00:02.968750,5.533061
1787011203000000000,2026-08-17T19:00:03,6.077297
1787011203031250000,2026-08-17T19:00:03.031250,6.639673
